Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Type of study,Food Safety,sentinel surveillance,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,sentinelsurveillance_7cc2d8a6-202f-4ecf-89a7-b8ab3eb241b3
Type of study,Animal Health,sentinel surveillance,Repeated collection of information from the same selected sites or groups of animals (e.g. veterinary practices laboratories herds or animals) to identify changes in the health status of a specified population over time. These sentinels should act as a proxy for the larger population of interest; they may be selected on the basis of risk but can also be selected randomly or on the basis of convenience or compliance. Sentinel surveillance is frequently used for early detection of vector-borne disease and can also be used for estimation of prevalence of endemic disease.,,,,https://www.fp7-risksur.eu/terminology/glossary,,,,Website,RiskSur Glossary,Accessed on: 18.05.2019,,RiskSur,,,"Do., Apr. 4 2019 11:38:08",,sentinelsurveillance_619409aa-1ecd-4fd1-8c3c-d715b38e8cc6
Type of study,Animal Health,sentinel surveillance,Repeated collection of information from the same selected sites or groups of animals (e.g. veterinary practices laboratories herds or animals) to identify changes in the health status of a specified population over time. These sentinels should act as a proxy for the larger population of interest; they may be selected on the basis of risk but can also be selected randomly or on the basis of convenience or compliance. Sentinel surveillance is frequently used for early detection of vector-borne disease and can also be used for estimation of prevalence of endemic disease.,,,,https://www.fp7-risksur.eu/terminology/glossary,,,,RISKSUR,Animal Health Surveillance Terminology Final Report from Pre-ICAHS Workshop ,2013,,,,RiskSur,Thu Apr 04 2019 11:38:08 GMT+0200 (MESZ),09.05.2019 11:44:41,sentinelsurveillance_b20a7d89-7cab-4172-ba10-cec8c9816310
Type of study,Public Health,sentinel surveillance,a surveillance system that uses a prearranged sample of sources from a selected group of participants (e.g. physicians hospitals laboratories and other institutions) who have agreed to report all cases of a specific disease/ syndrome/laboratory confirmed reports of a specified pathogen,,,,https://www.cdc.gov/csels/dsepd/ss1978/Glossary.html,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Accessed on: 18.05.2019,,CDC,,,"Do., Apr. 4 2019 11:38:08",,sentinelsurveillance_10a05a37-9033-431b-85e8-940732a5c1ae
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,Sequence alignment,"An algorithmic approach to find the best matching of consecutive letters in one sequence (text symbols that represent the polymer subunits of DNA or protein sequences) with another. Generally sequence alignment methods balance gaps with mismatches, and the relative scoring of these two features can be adjusted by the user.",original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Journal Article,Glossary of Sequencing Terms,Accessed on: 16.05.2019,,,,,Thu May 16 2019 10:25:58 GMT+0200 (Mitteleuropäische Sommerzeit),,Sequencealignment_5bc8326c-f66c-4fb5-b80e-008365a61c4e
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,Sequence assembly,A computational process of finding overlaps of identical (or nearly identical) strings of letters among a set of sequence fragments and iteratively joining them together to form longer sequences.,original definition,assembly, denovoassembly_35fdb630-742e-4fbc-a005-989fc74c3028; DNAsequenceassembly_ea8a68a6-e568-4483-867f-fbeee1fb462d; denovoassembly_54f46e70-ffed-41a0-b7ef-ba8b126e6c9a; assembly_eafd50e0-42d2-489e-88f4-d82d2490fe8f; Sequenceassembly_b2933c46-a741-47b1-a23e-a4b89dcfb7ea; assembly_1c2b5d38-ec9e-45b3-a304-81f2e53ebe52; assembly_0a6cf7fb-65aa-445c-bd38-3e8e7aecc207; denovoassembly_4ec93710-6f65-4211-904e-2a2f687c28d0,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Seqeunceing Terms,Accessed on: 15.05.2019,,,,,Wed May 15 2019 13:40:42 GMT+0200 (Mitteleuropäische Sommerzeit),,Sequenceassembly_b2933c46-a741-47b1-a23e-a4b89dcfb7ea
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,sequence coverage,"The number of sequence reads in a sequencing project that align to positions that overlap a specific base on a target genome, or the average number of aligned reads that overlap all positions on the target genome.",original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Sequencing Terms,Accessed on: 15.05.2019,,,,,Wed May 15 2019 13:52:33 GMT+0200 (Mitteleuropäische Sommerzeit),,sequencecoverage_01c306c0-a5e8-4da2-9818-e83b30e11047
Sampling and laboratory testing; Data processing and analysis,Shared Term,sequence data,"The raw reads produced from basecalling, usually saved in FASTQ format for NGS data.",,,,,,,,ORION preliminary definition,,,,,,FOHM,"Do., Apr. 4 2019 11:38:08",,sequencedata_40d2c114-5387-4354-93b5-f6301c9f7af4
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,Sequence fragment,A short string of text that represents a portion of a DNA (or RNA) sequence. NGS machines produce short reads that are sequence fragments that are read from DNA fragments.,original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Sequencing Terms,Accessed on: 16.05.2019,,,,,Thu May 16 2019 10:27:00 GMT+0200 (Mitteleuropäische Sommerzeit),,Sequencefragment_e89831a4-1037-4f80-8bd0-7b4f95864259
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,Sequence read,"When DNA sequence is obtained by any experimental method, including both Sanger and next-generation methods, the data are obtained from individual template molecules as a string of nucleotide bases (represented by the letter symbols G, A, T, C). This string of letters is called a sequence read. The length of a sequence read is determined by the technology. Sanger reads are typically 500–800 bases long, Roche 454 reads 200–400 bases, and Illumina reads may be 25–200 bases (depending on the model of machine, reagent kit, and other variables). Sequence reads produced by NGS machines are often called short reads.",original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Sequencing Terms,Accessed on: 16.05.2019,,,,,Thu May 16 2019 10:30:58 GMT+0200 (Mitteleuropäische Sommerzeit),,Sequenceread_81dfd5e2-c7d3-410e-a9ac-cf18bdfb7f47
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,Sequence variants,"Differences at specific positions between two aligned sequences. Variants include single-nucleotide polymorphisms (SNPs), insertions and deletions, copy number variants, and structural rearrangements. In NGS, variants are found after alignment of sequence reads to a reference genome. A variant may be observed as a single mismatched base in a single sequence read, or it may be confirmed by variant detection software from multiple sources of data.",original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Sequencing Terms,Accessed on: 16.05.2019,,,,,Thu May 16 2019 10:32:05 GMT+0200 (Mitteleuropäische Sommerzeit),,Sequencevariants_e4960990-64fb-454c-b4d5-804aa04f9dd5
Type of study,Food Safety,serological surveillance,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,serologicalsurveillance_94c49432-4bec-4630-a1ed-72f1bad3a871
Type of study,Shared Term,serological surveillance,"public health surveillance based on serological testing of characteristic changes in the serum level of specific antibodies. Latent, subclinical infections and carrier states can thus be detected in addition to clinically overt cases",,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:37:38",30.04.2019 04:17:24,serologicalsurveillance_607f14ed-e021-4e1b-baec-515415e8be8c
 Epidemiology; Type of study,Animal Health,Serological surveillance,"public health surveillance based on serological testing of characteristic changes in the serum level of specific antibodies. Latent, subclinical infections and carrier states can thus be detected in addition to clinically overt cases.",,,,,,,,Book,Dictionary of epidemiology,,Miquel Porta,,,,Thu May 09 2019 15:38:11 GMT+0200 (Central European Summer Time),,Serologicalsurveillance_eba37548-8656-4a9d-8e24-ed6a60833e7a
Sampling and laboratory testing; Epidemiology,,serotype,A group of closely related microorganisms distinguished by a characteristic set of antigens; alsothe set of antigens characteristic of such a group,,,,,,,,ORION preliminary definition,,,,,,UNTERM portal,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),09.05.2019 15:59:01,serotype_55200d2e-bc0c-4172-bf69-5123bc3cf5c6
Sampling and laboratory testing; Epidemiology,Shared Term,serotype,A group of closely related microorganisms distinguished by a characteristic set of antigens; also the set of antigens characteristic of such a group,,,,https://dcp.unesco.org/UNTERM/Display/Record/UNHQ/NA?OriginalId=9645f0406bd5bb948525709f0056c407,,,,Website,Serotype,2019,,UN,,UNTERM portal,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),09.05.2019 15:58:08,serotype_067d769a-9aad-4ae0-a48a-976b8878a5ed
Sampling and laboratory testing; Epidemiology,Shared Term,serotype,A group of closely related microorganisms distinguished by a characteristic set of antigens; alsothe set of antigens characteristic of such a group,,,,https://unterm.un.org/UNTERM/Display/Record/UNHQ/NA?OriginalId=9645f0406bd5bb948525709f0056c407,,,,Website,UNTERM portal,Accessed on: 18.09.2019,,UN,,UNTERM portal,"Do., Apr. 4 2019 11:37:38",,serotype_5e726ef9-0df4-48ee-b99f-9924bc510048
Sampling and laboratory testing; Epidemiology,Shared Term,serotype,"The phenotypic serological profile of an organism, typically the somatic and flagella antigens.",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,serotype_3d4afcb8-623d-4dce-9e3c-f1251f7b1be0
Sampling and Laboratory testing,Animal Health,serovars,see serotype,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,serovars_ac75bb92-358b-42d6-9cb3-24215191c5fc
Sampling and laboratory testing; Epidemiology,Food Safety,serovars,see serotype,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,serovars_8fb2b4af-56b9-4ccc-95be-6c4e463933b6
Sampling and laboratory testing; Epidemiology,Public Health,serovars,see serotype,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,serovars_40163fb0-bc2c-4c6f-8133-ef8ff1b0bdde
Sampling and Laboratory testing;Sampling and laboratory testing;Epidemiology,Animal Health,serovars,Same as serotype. The term serovar has substituted the term serotype in Salmonella nomenclature.,,,,,,,,Journal Article,,,,,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),10.05.2019 08:50:27,serovars_0e4930f8-1b10-4ee8-972b-7cbfb01a7e66
Sampling and laboratory testing; Epidemiology,Public Health,serovars,"Serovar is a synonym for serotype.  That is a serologically and antigenically distinct variety of microorganism, like a subgroup of a species of bacteria. In other words, they share similar antigens (antigenically), and the antibodies that are directed against those antigens are the same (serologically). ",original definition,,,https://study.com/academy/lesson/difference-between-serotype-genotype-serovar-strain-biotype.html,,,,Website,Serotype vs. Serovar vs. Genotype,Accessed on: 16.05.2019,,,,,Thu Apr 04 2019 11:38:08 GMT+0200 (MESZ),16.05.2019 10:58:45,serovars_4d1b07e5-a8af-4489-a44e-5df865e9a01c
Regulatory;Sampling and laboratory testing,Food Safety,shelf-life,either the period corresponding to the period preceding the‘use by’ or the minimum durability date,original definition,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs (Text with EEA relevance),2005,European Commission,,Official Journal of the European Union,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),16.05.2019 11:01:06,shelflife_038e538c-16ed-40b8-ae75-9f3f3085c328
Others,Shared Term,shelf-life,"either the period corresponding to the period preceding the‘use by’ or the minimum durability date, as defined respectively in Articles 9 and 10 of Directive 2000/13/EC",,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:38",30.04.2019 07:11:48,shelflife_c5cd7941-1c04-4c08-88ba-51b25638ec14
 Sampling and Laboratory testing; Regulatory,Animal Health,shelf-life,Term not used in this sector,original definition,,,,,,,Journal Article,,,,,,,Thu May 16 2019 11:02:46 GMT+0200 (Mitteleuropäische Sommerzeit),,shelflife_6504c05b-bdb3-46a4-b213-7003392c6e21
 Sampling and Laboratory testing; Regulatory,Public Health,shelf-life,Term not used in this sector,original definition,,,,,,,Journal Article,,,,,,,Thu May 16 2019 11:03:04 GMT+0200 (Mitteleuropäische Sommerzeit),,shelflife_f7e1aced-66bd-43f9-9c00-52e69e331b5c
Data processing and analysis,Shared Term,single linkage tree,"a NJ method in which the distance between two clusters is the shortest distance between two entries in the clusters, i.e. the single shortest link.",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:09",,singlelinkagetree_2ac82cbe-b034-4fed-830c-908d4da9f988
Sampling and laboratory testing; Data processing and analysis,Shared Term,Single Nucleotide Polymorphism (SNP),single site in any DNA sequence for which the identity of the nucleotide differs among individuals.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:09",,SingleNucleotidePolymorphismSNP_92d2344b-85bc-4d0a-9121-55a647010f3c
Sampling and laboratory testing; Data processing and analysis,Shared Term,SNP analysis,"detection of SNPs in WGS data from a set of indiviual isolates, followed by a cluster analyses based on the SNPs",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:41",,SNPanalysis_2578c01b-89bd-4457-b98d-3b3b47af6e86
Sampling and laboratory testing; Data processing and analysis,Shared Term,SNP tree,comparison of SNPs can be compared across several isolates and the differences can be used to create trees depicting relatedness among the isolates.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:41",,SNPtree_dfa7e8b4-df1a-4859-b280-c6ff065f1e9f
